Name,Latitude,Longitude
Aranjuez,6.276145097675718,-75.56155865542125
Belén,6.225502896308299,-75.59939743944501
Buenos Aires,6.231431748023438,-75.55289350181222
Castilla,6.292266459770149,-75.56865695497135
Corregimiento de Altavista,6.2272114466239294,-75.6350666227438
Corregimiento de San Antonio de Prado,6.216084300337334,-75.67337742776486
Corregimiento de San Cristóbal,6.290376944450321,-75.63974865831275
Corregimiento de San Sebastián de Palmitas,6.32758284810259,-75.68932896669222
Corregimiento de Santa Elena,6.234924573459946,-75.51666884292676
Doce de Octubre,6.299260689227448,-75.57917245765978
El Poblado,6.201086159361025,-75.56638991565393
Guayabal,6.213350152753103,-75.58642579137799
La América,6.25448531976601,-75.60554175524604
La Candelaria,6.2476623544778365,-75.56806717177837
Laureles Estadio,6.250440141697163,-75.59158021014319
Manrique,6.273127560928818,-75.5452865185927
Popular,6.293570130742155,-75.54419036513585
Robledo,6.277940965727176,-75.59232855041309
San Javier,6.256578360527425,-75.61778085742193
Santa Cruz,6.298359642641753,-75.55451466791705
Sin nombre 1,6.267703569909418,-75.60668455680631
Sin nombre 2,6.1985052175119755,-75.57062048257905
Villa Hermosa,6.247402662184574,-75.54421632048661
